Assigned_Agent,Lead_ID_Fixed,Client_Name_Fixed,Company_Segment,City_Final,Status_Clean,Lead_Date_Final,Lead_Month_No,Lead_Month,Lead_Year,Lead_Quarter,Lead_Weekday_No,Lead_Weekday,Response_Time_Hours,Target_Sales,Interaction_Count_Final,Sales_Tier,Is_Converted,Is_Engaged,Stage_Order,Response_Speed_Cat,Response_Bucket_6H,Engagement_Level
Agent_D,CL-2718,Client_2718,A Private Manufacturing Enterprise,Penang,CONTACTED,10/20/2024,10,October,2024,Q4,7,Sunday,30.6,3568.62,26,Medium,0,1,2,Delayed,30,High
Agent_D,CL-1502,Client_1502,A Leading Utility Company,CyberJaya,CONVERTED,9/19/2024,9,September,2024,Q3,4,Thursday,21,3585.72,46,Medium,1,1,4,Moderate,18,High
Agent_C,CL-0216,Client_216,A Government Service Provider,Alor Setar,CONTACTED,4/1/2024,4,April,2024,Q2,1,Monday,31.2,4123.9,15,High,0,1,2,Delayed,30,High
Agent_D,CL-0169,Client_169,A Government Service Provider,Petaling Jaya,LOST,1/6/2024,1,January,2024,Q1,6,Saturday,43,3279.7,24,Medium,0,0,5,Delayed,42,High
Agent_A,CL-0039,Client_039,A Private Manufacturing Enterprise,Kota Kinabalu,CONTACTED,3/13/2023,3,March,2023,Q1,1,Monday,28.8,4786.07,2,High,0,1,2,Delayed,24,Low
Agent_D,CL-1049,Client_1049,A Regional Financial Institution,Malaka,NEW,2/12/2024,2,February,2024,Q1,1,Monday,31.2,2602.46,5,Medium,0,0,1,Delayed,30,Medium
Agent_C,CL-2332,Client_2332,A Major Telecommunications Provider,Ipoh,LOST,7/11/2023,7,July,2023,Q3,2,Tuesday,1.4,4090.22,34,High,0,0,5,Fast,0,High
Agent_A,CL-0623,Client_623,A Government Service Provider,Petaling Jaya,CONTACTED,7/27/2023,7,July,2023,Q3,4,Thursday,70,2726.16,8,Medium,0,1,2,Delayed,66,High
Agent_C,CL-2232,Client_2232,A Major Telecommunications Provider,Seremban,CONTACTED,10/28/2024,10,October,2024,Q4,1,Monday,69.8,3645.26,4,Medium,0,1,2,Delayed,66,Medium
Agent_B,CL-0918,Client_918,A Regional Financial Institution,Kuala Lumpur,QUALIFIED,4/13/2024,4,April,2024,Q2,6,Saturday,50.3,3323.66,14,Medium,0,1,3,Delayed,48,High
Agent_B,CL-1607,Client_1607,A Major Telecommunications Provider,Kuching,CONTACTED,12/16/2023,12,December,2023,Q4,6,Saturday,8.3,1104.89,28,Low,0,1,2,Moderate,6,High
Agent_C,CL-1277,Client_1277,A Leading Utility Company,Klang,NEW,11/23/2023,11,November,2023,Q4,4,Thursday,32.1,1888.82,35,Low,0,0,1,Delayed,30,High
Agent_B,CL-1106,Client_1106,A Leading Utility Company,Seremban,QUALIFIED,8/26/2023,8,August,2023,Q3,6,Saturday,67.3,4187.96,15,High,0,1,3,Delayed,66,High
Agent_B,CL-0849,Client_849,A Regional Financial Institution,CyberJaya,CONTACTED,12/14/2023,12,December,2023,Q4,4,Thursday,54,3817.26,21,Medium,0,1,2,Delayed,54,High
Agent_D,CL-2997,Client_2997,A Regional Financial Institution,CyberJaya,CONTACTED,11/7/2024,11,November,2024,Q4,4,Thursday,55.2,2781.56,25,Medium,0,1,2,Delayed,54,High
Agent_A,CL-1862,Client_1862,A Regional Financial Institution,Subang Jaya,QUALIFIED,6/13/2023,6,June,2023,Q2,2,Tuesday,1.6,2256.39,36,Medium,0,1,3,Fast,0,High
Agent_C,CL-2048,Client_2048,A Private Manufacturing Enterprise,Kuching,QUALIFIED,1/22/2023,1,January,2023,Q1,7,Sunday,0.9,2306.76,35,Medium,0,1,3,Immediate,0,High
Agent_A,CL-0970,Client_970,A Major Telecommunications Provider,Malaka,QUALIFIED,2/4/2024,2,February,2024,Q1,7,Sunday,13.7,4735.73,38,High,0,1,3,Moderate,12,High
Agent_C,CL-1096,Client_1096,A Leading Utility Company,Alor Setar,NEW,5/11/2024,5,May,2024,Q2,6,Saturday,11.4,1328.15,16,Low,0,0,1,Moderate,6,High
Agent_C,CL-2200,Client_2200,A Leading Utility Company,Seremban,CONTACTED,6/19/2024,6,June,2024,Q2,3,Wednesday,34,1505.92,30,Low,0,1,2,Delayed,30,High
Agent_A,CL-1147,Client_1147,A Private Manufacturing Enterprise,Alor Setar,CONTACTED,6/1/2024,6,June,2024,Q2,6,Saturday,6,3051.32,39,Medium,0,1,2,Fast,6,High
Agent_A,CL-1938,Client_1938,A Government Service Provider,Subang Jaya,CONTACTED,11/30/2024,11,November,2024,Q4,6,Saturday,40.5,4417.33,47,High,0,1,2,Delayed,36,High
Agent_D,CL-2161,Client_2161,A Regional Financial Institution,Klang,QUALIFIED,8/29/2023,8,August,2023,Q3,2,Tuesday,67,3510.85,44,Medium,0,1,3,Delayed,66,High
Agent_A,CL-1133,Client_1133,A Major Telecommunications Provider,Klang,LOST,9/24/2023,9,September,2023,Q3,7,Sunday,53.8,2811.97,1,Medium,0,0,5,Delayed,48,Low
Agent_D,CL-0106,Client_106,A Private Manufacturing Enterprise,Petaling Jaya,NEW,7/24/2024,7,July,2024,Q3,3,Wednesday,2.4,3211.6,24,Medium,0,0,1,Fast,0,High
Agent_A,CL-1803,Client_1803,A Government Service Provider,Kuala Lumpur,CONVERTED,12/19/2024,12,December,2024,Q4,4,Thursday,27.9,3101.23,40,Medium,1,1,4,Delayed,24,High
Agent_D,CL-1761,Client_1761,A Government Service Provider,Johor Bahru,NEW,6/30/2023,6,June,2023,Q2,5,Friday,57,2243.18,34,Medium,0,0,1,Delayed,54,High
Agent_C,CL-1845,Client_1845,A Regional Financial Institution,CyberJaya,NEW,4/9/2023,4,April,2023,Q2,7,Sunday,69.6,4618.16,35,High,0,0,1,Delayed,66,High
Agent_B,CL-2820,Client_2820,A Leading Utility Company,Klang,CONTACTED,10/31/2023,10,October,2023,Q4,2,Tuesday,6,4020.19,4,High,0,1,2,Fast,6,Medium
Agent_B,CL-2670,Client_2670,A Regional Financial Institution,Putrajaya,CONVERTED,9/7/2024,9,September,2024,Q3,6,Saturday,46.7,3002.34,15,Medium,1,1,4,Delayed,42,High
Agent_A,CL-1769,Client_1769,A Leading Utility Company,Alor Setar,CONTACTED,12/17/2023,12,December,2023,Q4,7,Sunday,11,1031.09,1,Low,0,1,2,Moderate,6,Low
Agent_C,CL-1849,Client_1849,A Private Manufacturing Enterprise,Johor Bahru,CONVERTED,5/16/2023,5,May,2023,Q2,2,Tuesday,16.7,2689.23,16,Medium,1,1,4,Moderate,12,High
Agent_C,CL-2246,Client_2246,A Private Manufacturing Enterprise,Johor Bahru,CONVERTED,3/21/2023,3,March,2023,Q1,2,Tuesday,63.6,2857.22,18,Medium,1,1,4,Delayed,60,High
Agent_C,CL-1279,Client_1279,A Government Service Provider,Subang Jaya,LOST,9/21/2024,9,September,2024,Q3,6,Saturday,55.2,4396.66,41,High,0,0,5,Delayed,54,High
Agent_C,CL-1175,Client_1175,A Regional Financial Institution,Kuching,CONVERTED,8/23/2023,8,August,2023,Q3,3,Wednesday,24.2,4792.8,16,High,1,1,4,Delayed,24,High
Agent_C,CL-2900,Client_2900,A Regional Financial Institution,Malaka,LOST,10/14/2023,10,October,2023,Q4,6,Saturday,27.8,1580.85,5,Low,0,0,5,Delayed,24,Medium
Agent_A,CL-0164,Client_164,A Regional Financial Institution,Seremban,CONTACTED,11/2/2024,11,November,2024,Q4,6,Saturday,26.8,2737.53,25,Medium,0,1,2,Delayed,24,High
Agent_A,CL-0708,Client_708,A Government Service Provider,Johor Bahru,CONTACTED,3/21/2024,3,March,2024,Q1,4,Thursday,65,4618.2,27,High,0,1,2,Delayed,60,High
Agent_A,CL-0706,Client_706,A Major Telecommunications Provider,CyberJaya,QUALIFIED,7/4/2023,7,July,2023,Q3,2,Tuesday,62.4,3362.73,43,Medium,0,1,3,Delayed,60,High
Agent_B,CL-1670,Client_1670,A Leading Utility Company,Subang Jaya,QUALIFIED,5/31/2023,5,May,2023,Q2,3,Wednesday,2.4,1871.87,37,Low,0,1,3,Fast,0,High
Agent_D,CL-0677,Client_677,A Government Service Provider,Seremban,CONVERTED,8/16/2023,8,August,2023,Q3,3,Wednesday,49.7,1105.06,9,Low,1,1,4,Delayed,48,High
Agent_D,CL-0037,Client_037,A Government Service Provider,Kuala Lumpur,CONVERTED,12/7/2023,12,December,2023,Q4,4,Thursday,53.1,3668.1,45,Medium,1,1,4,Delayed,48,High
Agent_D,CL-0831,Client_831,A Private Manufacturing Enterprise,Johor Bahru,NEW,1/7/2024,1,January,2024,Q1,7,Sunday,40.2,4660.62,13,High,0,0,1,Delayed,36,High
Agent_B,CL-2002,Client_2002,A Regional Financial Institution,Kuching,LOST,8/10/2024,8,August,2024,Q3,6,Saturday,50.4,1125.27,17,Low,0,0,5,Delayed,48,High
Agent_C,CL-2426,Client_2426,A Major Telecommunications Provider,Subang Jaya,CONTACTED,6/23/2024,6,June,2024,Q2,7,Sunday,33.7,3699.08,25,Medium,0,1,2,Delayed,30,High
Agent_A,CL-2964,Client_2964,A Private Manufacturing Enterprise,Malaka,CONVERTED,11/23/2024,11,November,2024,Q4,6,Saturday,66,4676.12,15,High,1,1,4,Delayed,66,High
Agent_B,CL-2103,Client_2103,A Government Service Provider,CyberJaya,CONTACTED,5/21/2023,5,May,2023,Q2,7,Sunday,46.2,3963.5,30,High,0,1,2,Delayed,42,High
Agent_D,CL-0357,Client_357,A Leading Utility Company,Subang Jaya,QUALIFIED,1/7/2023,1,January,2023,Q1,6,Saturday,25.1,2893.39,45,Medium,0,1,3,Delayed,24,High
Agent_D,CL-2357,Client_2357,A Government Service Provider,Alor Setar,QUALIFIED,10/17/2023,10,October,2023,Q4,2,Tuesday,62,4312.22,47,High,0,1,3,Delayed,60,High
Agent_A,CL-1160,Client_1160,A Government Service Provider,Seremban,CONTACTED,1/14/2024,1,January,2024,Q1,7,Sunday,31,4422.62,30,High,0,1,2,Delayed,30,High
Agent_D,CL-1992,Client_1992,A Government Service Provider,Kuching,QUALIFIED,10/16/2023,10,October,2023,Q4,1,Monday,21.8,3659.18,19,Medium,0,1,3,Moderate,18,High
Agent_D,CL-2263,Client_2263,A Major Telecommunications Provider,Alor Setar,CONTACTED,6/11/2023,6,June,2023,Q2,7,Sunday,35.7,2993.91,13,Medium,0,1,2,Delayed,30,High
Agent_C,CL-0838,Client_838,A Leading Utility Company,Alor Setar,CONTACTED,1/19/2024,1,January,2024,Q1,5,Friday,23.5,1527.7,31,Low,0,1,2,Moderate,18,High
Agent_D,CL-0635,Client_635,A Government Service Provider,Alor Setar,CONTACTED,4/10/2024,4,April,2024,Q2,3,Wednesday,33.2,1532.44,18,Low,0,1,2,Delayed,30,High
Agent_B,CL-1217,Client_1217,A Major Telecommunications Provider,Malaka,CONTACTED,3/10/2023,3,March,2023,Q1,5,Friday,19,1792.4,8,Low,0,1,2,Moderate,18,High
Agent_B,CL-0627,Client_627,A Leading Utility Company,Subang Jaya,QUALIFIED,2/3/2024,2,February,2024,Q1,6,Saturday,10.7,3839.87,27,Medium,0,1,3,Moderate,6,High
Agent_D,CL-1753,Client_1753,A Government Service Provider,Subang Jaya,NEW,4/23/2023,4,April,2023,Q2,7,Sunday,68,4869.61,6,High,0,0,1,Delayed,66,High
Agent_B,CL-1310,Client_1310,A Private Manufacturing Enterprise,Seremban,NEW,7/1/2023,7,July,2023,Q3,6,Saturday,10.5,3432.08,4,Medium,0,0,1,Moderate,6,Medium
Agent_D,CL-0081,Client_081,A Leading Utility Company,Seremban,LOST,8/24/2024,8,August,2024,Q3,6,Saturday,60,2261.21,6,Medium,0,0,5,Delayed,60,High
Agent_D,CL-1606,Client_1606,A Major Telecommunications Provider,Petaling Jaya,LOST,4/10/2024,4,April,2024,Q2,3,Wednesday,11.2,3812.98,45,Medium,0,0,5,Moderate,6,High
Agent_A,CL-0176,Client_176,A Major Telecommunications Provider,Kuching,NEW,11/8/2024,11,November,2024,Q4,5,Friday,46.4,2990.4,34,Medium,0,0,1,Delayed,42,High
Agent_C,CL-1257,Client_1257,A Regional Financial Institution,Subang Jaya,CONTACTED,2/23/2024,2,February,2024,Q1,5,Friday,12,3035.24,6,Medium,0,1,2,Moderate,12,High
Agent_C,CL-2479,Client_2479,A Government Service Provider,Shah Alam,NEW,2/16/2023,2,February,2023,Q1,4,Thursday,23.6,2104.39,22,Medium,0,0,1,Moderate,18,High
Agent_C,CL-2244,Client_2244,A Leading Utility Company,Kuala Lumpur,CONTACTED,1/1/2023,1,January,2023,Q1,7,Sunday,30.4,2264.88,49,Medium,0,1,2,Delayed,30,High
Agent_A,CL-1794,Client_1794,A Regional Financial Institution,Subang Jaya,CONVERTED,11/8/2024,11,November,2024,Q4,5,Friday,4.8,2088.83,17,Medium,1,1,4,Fast,0,High
Agent_C,CL-2793,Client_2793,A Leading Utility Company,Seremban,CONTACTED,7/3/2024,7,July,2024,Q3,3,Wednesday,43.2,3057.97,6,Medium,0,1,2,Delayed,42,High
Agent_C,CL-1200,Client_1200,A Private Manufacturing Enterprise,Petaling Jaya,QUALIFIED,10/10/2024,10,October,2024,Q4,4,Thursday,31.8,4265.28,17,High,0,1,3,Delayed,30,High
Agent_C,CL-1858,Client_1858,A Government Service Provider,Putrajaya,LOST,3/22/2024,3,March,2024,Q1,5,Friday,28.4,1735.7,1,Low,0,0,5,Delayed,24,Low
Agent_A,CL-2371,Client_2371,A Leading Utility Company,Putrajaya,NEW,10/16/2024,10,October,2024,Q4,3,Wednesday,2.2,4629.82,45,High,0,0,1,Fast,0,High
Agent_D,CL-1867,Client_1867,A Leading Utility Company,Johor Bahru,CONTACTED,4/17/2024,4,April,2024,Q2,3,Wednesday,70,1469.77,30,Low,0,1,2,Delayed,66,High
Agent_A,CL-1682,Client_1682,A Leading Utility Company,Kuala Lumpur,QUALIFIED,3/24/2023,3,March,2023,Q1,5,Friday,61.8,3534.19,14,Medium,0,1,3,Delayed,60,High
Agent_C,CL-2099,Client_2099,A Regional Financial Institution,Johor Bahru,CONTACTED,12/22/2024,12,December,2024,Q4,7,Sunday,47.9,4644.52,11,High,0,1,2,Delayed,42,High
Agent_B,CL-0473,Client_473,A Private Manufacturing Enterprise,Ipoh,CONVERTED,10/7/2024,10,October,2024,Q4,1,Monday,19.2,3907.42,4,Medium,1,1,4,Moderate,18,Medium
Agent_C,CL-0994,Client_994,A Regional Financial Institution,Johor Bahru,CONTACTED,12/13/2024,12,December,2024,Q4,5,Friday,50.3,2878.44,45,Medium,0,1,2,Delayed,48,High
Agent_B,CL-1796,Client_1796,A Private Manufacturing Enterprise,Malaka,CONTACTED,3/24/2024,3,March,2024,Q1,7,Sunday,58.5,2734.68,27,Medium,0,1,2,Delayed,54,High
Agent_D,CL-0294,Client_294,A Government Service Provider,Seremban,QUALIFIED,7/30/2023,7,July,2023,Q3,7,Sunday,46.7,4420.56,8,High,0,1,3,Delayed,42,High
Agent_B,CL-0585,Client_585,A Private Manufacturing Enterprise,Alor Setar,QUALIFIED,4/2/2023,4,April,2023,Q2,7,Sunday,29.4,2837.69,4,Medium,0,1,3,Delayed,24,Medium
Agent_D,CL-2367,Client_2367,A Leading Utility Company,Kuching,NEW,1/7/2024,1,January,2024,Q1,7,Sunday,36,1247.57,1,Low,0,0,1,Delayed,36,Low
Agent_D,CL-2224,Client_2224,A Major Telecommunications Provider,Penang,QUALIFIED,12/13/2023,12,December,2023,Q4,3,Wednesday,34,1257.5,39,Low,0,1,3,Delayed,30,High
